algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_moons,ball_tree,30,9,distance,0.0012660264968872071
kNN,make_moons,ball_tree,31,1,uniform,0.0012648344039916993
kNN,make_moons,ball_tree,31,1,distance,0.0012694835662841798
kNN,make_moons,ball_tree,31,2,uniform,0.0012893915176391602
kNN,make_moons,ball_tree,31,2,distance,0.0012367963790893555
kNN,make_moons,ball_tree,31,3,uniform,0.0012298822402954102
kNN,make_moons,ball_tree,31,3,distance,0.0012115478515625
kNN,make_moons,ball_tree,31,4,uniform,0.0012383699417114259
kNN,make_moons,ball_tree,31,4,distance,0.0012260198593139649
kNN,make_moons,ball_tree,31,5,uniform,0.0012482166290283202
kNN,make_moons,ball_tree,31,5,distance,0.001292586326599121
kNN,make_moons,ball_tree,31,6,uniform,0.0012486696243286133
kNN,make_moons,ball_tree,31,6,distance,0.001249217987060547
kNN,make_moons,ball_tree,31,7,uniform,0.0012497186660766601
kNN,make_moons,ball_tree,31,7,distance,0.0012459754943847656
kNN,make_moons,ball_tree,31,8,uniform,0.001250004768371582
kNN,make_moons,ball_tree,31,8,distance,0.0012634992599487305
kNN,make_moons,ball_tree,31,9,uniform,0.0013012647628784179
kNN,make_moons,ball_tree,31,9,distance,0.0012441158294677734
kNN,make_moons,kd_tree,28,1,uniform,0.0012194395065307617
kNN,make_moons,kd_tree,28,1,distance,0.0012238979339599609
kNN,make_moons,kd_tree,28,2,uniform,0.0011827945709228516
kNN,make_moons,kd_tree,28,2,distance,0.0012001752853393554
kNN,make_moons,kd_tree,28,3,uniform,0.0011886835098266601
kNN,make_moons,kd_tree,28,3,distance,0.0011838436126708984
kNN,make_moons,kd_tree,28,4,uniform,0.0012117624282836914
kNN,make_moons,kd_tree,28,4,distance,0.0011851787567138672
kNN,make_moons,kd_tree,28,5,uniform,0.001222538948059082
kNN,make_moons,kd_tree,28,5,distance,0.0012139320373535157
kNN,make_moons,kd_tree,28,6,uniform,0.0012172937393188476
kNN,make_moons,kd_tree,28,6,distance,0.0012093305587768555
kNN,make_moons,kd_tree,28,7,uniform,0.0012182950973510741
kNN,make_moons,kd_tree,28,7,distance,0.001215219497680664
kNN,make_moons,kd_tree,28,8,uniform,0.0012287855148315429
kNN,make_moons,kd_tree,28,8,distance,0.0012087583541870116
kNN,make_moons,kd_tree,28,9,uniform,0.0012264013290405273
kNN,make_moons,kd_tree,28,9,distance,0.0012215852737426757
kNN,make_moons,kd_tree,29,1,uniform,0.0012140750885009765
kNN,make_moons,kd_tree,29,1,distance,0.0011973857879638671
kNN,make_moons,kd_tree,29,2,uniform,0.0011991500854492188
kNN,make_moons,kd_tree,29,2,distance,0.0011871576309204102
kNN,make_moons,kd_tree,29,3,uniform,0.001207113265991211
kNN,make_moons,kd_tree,29,3,distance,0.0011830568313598634
kNN,make_moons,kd_tree,29,4,uniform,0.0011871576309204102
kNN,make_moons,kd_tree,29,4,distance,0.0011821508407592774
kNN,make_moons,kd_tree,29,5,uniform,0.0012114524841308593
kNN,make_moons,kd_tree,29,5,distance,0.0012110233306884765
kNN,make_moons,kd_tree,29,6,uniform,0.0012153863906860351
kNN,make_moons,kd_tree,29,6,distance,0.0012081384658813477
kNN,make_moons,kd_tree,29,7,uniform,0.0012226343154907227
kNN,make_moons,kd_tree,29,7,distance,0.0012101173400878907
kNN,make_moons,kd_tree,29,8,uniform,0.0012171030044555663
kNN,make_moons,kd_tree,29,8,distance,0.0012238740921020508
kNN,make_moons,kd_tree,29,9,uniform,0.0012236595153808593
kNN,make_moons,kd_tree,29,9,distance,0.0012191295623779296
kNN,make_moons,kd_tree,30,1,uniform,0.0012137174606323242
kNN,make_moons,kd_tree,30,1,distance,0.0011821031570434571
kNN,make_moons,kd_tree,30,2,uniform,0.0012003183364868164
kNN,make_moons,kd_tree,30,2,distance,0.0011888742446899414
kNN,make_moons,kd_tree,30,3,uniform,0.0012221574783325196
kNN,make_moons,kd_tree,30,3,distance,0.0011903047561645508
kNN,make_moons,kd_tree,30,4,uniform,0.0012375831604003907
kNN,make_moons,kd_tree,30,4,distance,0.0012206554412841797
kNN,make_moons,kd_tree,30,5,uniform,0.0012198448181152343
kNN,make_moons,kd_tree,30,5,distance,0.0012126445770263671
kNN,make_moons,kd_tree,30,6,uniform,0.0012151241302490235
kNN,make_moons,kd_tree,30,6,distance,0.001214909553527832
kNN,make_moons,kd_tree,30,7,uniform,0.001216745376586914
kNN,make_moons,kd_tree,30,7,distance,0.0012213706970214844
kNN,make_moons,kd_tree,30,8,uniform,0.0012273311614990235
kNN,make_moons,kd_tree,30,8,distance,0.0012173891067504884
kNN,make_moons,kd_tree,30,9,uniform,0.0012185335159301757
kNN,make_moons,kd_tree,30,9,distance,0.0012115478515625
kNN,make_moons,kd_tree,31,1,uniform,0.0012055635452270508
kNN,make_moons,kd_tree,31,1,distance,0.0012108802795410157
kNN,make_moons,kd_tree,31,2,uniform,0.001205110549926758
kNN,make_moons,kd_tree,31,2,distance,0.0011911630630493165
kNN,make_moons,kd_tree,31,3,uniform,0.0011873245239257812
kNN,make_moons,kd_tree,31,3,distance,0.0011789560317993163
kNN,make_moons,kd_tree,31,4,uniform,0.001198148727416992
kNN,make_moons,kd_tree,31,4,distance,0.001181960105895996
kNN,make_moons,kd_tree,31,5,uniform,0.0012122631072998048
kNN,make_moons,kd_tree,31,5,distance,0.001212739944458008
kNN,make_moons,kd_tree,31,6,uniform,0.0012149810791015625
kNN,make_moons,kd_tree,31,6,distance,0.001219964027404785
kNN,make_moons,kd_tree,31,7,uniform,0.001217031478881836
kNN,make_moons,kd_tree,31,7,distance,0.001217055320739746
kNN,make_moons,kd_tree,31,8,uniform,0.0012159109115600585
kNN,make_moons,kd_tree,31,8,distance,0.0012133359909057618
kNN,make_moons,kd_tree,31,9,uniform,0.0012207508087158203
kNN,make_moons,kd_tree,31,9,distance,0.001213383674621582
kNN,make_moons,brute,28,1,uniform,0.0003599405288696289
kNN,make_moons,brute,28,1,distance,0.00037565231323242185
kNN,make_moons,brute,28,2,uniform,0.00036671161651611326
kNN,make_moons,brute,28,2,distance,0.0003669500350952148
kNN,make_moons,brute,28,3,uniform,0.00036966800689697266
kNN,make_moons,brute,28,3,distance,0.00036497116088867186
kNN,make_moons,brute,28,4,uniform,0.0003631114959716797
kNN,make_moons,brute,28,4,distance,0.0003651857376098633
kNN,make_moons,brute,28,5,uniform,0.000366973876953125
kNN,make_moons,brute,28,5,distance,0.00036940574645996096
kNN,make_moons,brute,28,6,uniform,0.00036611557006835935
kNN,make_moons,brute,28,6,distance,0.00037071704864501955
kNN,make_moons,brute,28,7,uniform,0.0003654956817626953
kNN,make_moons,brute,28,7,distance,0.00037131309509277346
kNN,make_moons,brute,28,8,uniform,0.0003687143325805664
kNN,make_moons,brute,28,8,distance,0.0003688812255859375
kNN,make_moons,brute,28,9,uniform,0.0003652095794677734
kNN,make_moons,brute,28,9,distance,0.00036742687225341795
kNN,make_moons,brute,29,1,uniform,0.00036070346832275393
kNN,make_moons,brute,29,1,distance,0.00039288997650146487
kNN,make_moons,brute,29,2,uniform,0.0003645658493041992
kNN,make_moons,brute,29,2,distance,0.00036320686340332033
kNN,make_moons,brute,29,3,uniform,0.00036869049072265627
kNN,make_moons,brute,29,3,distance,0.0003643512725830078
kNN,make_moons,brute,29,4,uniform,0.00036373138427734373
kNN,make_moons,brute,29,4,distance,0.000365757942199707
kNN,make_moons,brute,29,5,uniform,0.0003639698028564453
kNN,make_moons,brute,29,5,distance,0.0003690481185913086
kNN,make_moons,brute,29,6,uniform,0.00036511421203613283
kNN,make_moons,brute,29,6,distance,0.0003686666488647461
kNN,make_moons,brute,29,7,uniform,0.000366663932800293
kNN,make_moons,brute,29,7,distance,0.0003702878952026367
kNN,make_moons,brute,29,8,uniform,0.0003672122955322266
kNN,make_moons,brute,29,8,distance,0.0003690004348754883
kNN,make_moons,brute,29,9,uniform,0.00037233829498291017
kNN,make_moons,brute,29,9,distance,0.0003656148910522461
kNN,make_moons,brute,30,1,uniform,0.0003646135330200195
kNN,make_moons,brute,30,1,distance,0.00037615299224853517
kNN,make_moons,brute,30,2,uniform,0.00036630630493164065
kNN,make_moons,brute,30,2,distance,0.0003651618957519531
kNN,make_moons,brute,30,3,uniform,0.00036237239837646487
kNN,make_moons,brute,30,3,distance,0.00036320686340332033
kNN,make_moons,brute,30,4,uniform,0.0003637552261352539
kNN,make_moons,brute,30,4,distance,0.000376129150390625
kNN,make_moons,brute,30,5,uniform,0.00036509037017822265
kNN,make_moons,brute,30,5,distance,0.0003687143325805664
kNN,make_moons,brute,30,6,uniform,0.00036995410919189454
kNN,make_moons,brute,30,6,distance,0.00036847591400146484
kNN,make_moons,brute,30,7,uniform,0.0003653526306152344
kNN,make_moons,brute,30,7,distance,0.0003669500350952148
kNN,make_moons,brute,30,8,uniform,0.00037508010864257814
kNN,make_moons,brute,30,8,distance,0.00036804676055908204
kNN,make_moons,brute,30,9,uniform,0.0003662586212158203
kNN,make_moons,brute,30,9,distance,0.0003670930862426758
kNN,make_moons,brute,31,1,uniform,0.0003606557846069336
kNN,make_moons,brute,31,1,distance,0.0003762960433959961
kNN,make_moons,brute,31,2,uniform,0.00036623477935791013
kNN,make_moons,brute,31,2,distance,0.00036559104919433596
kNN,make_moons,brute,31,3,uniform,0.000368499755859375
kNN,make_moons,brute,31,3,distance,0.00037467479705810547
kNN,make_moons,brute,31,4,uniform,0.0003614902496337891
kNN,make_moons,brute,31,4,distance,0.0003653526306152344
kNN,make_moons,brute,31,5,uniform,0.0003696441650390625
