algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_regression,auto,33,6,distance,0.002836147944132487
kNN,make_regression,auto,33,7,uniform,0.0028133392333984375
kNN,make_regression,auto,33,7,distance,0.0028079350789388022
kNN,make_regression,auto,33,8,uniform,0.00287016232808431
kNN,make_regression,auto,33,8,distance,0.002843141555786133
kNN,make_regression,auto,33,9,uniform,0.0028503735860188804
kNN,make_regression,auto,33,9,distance,0.0028319358825683594
kNN,make_regression,auto,34,1,uniform,0.002879460652669271
kNN,make_regression,auto,34,1,distance,0.0028634866078694663
kNN,make_regression,auto,34,2,uniform,0.002859910329182943
kNN,make_regression,auto,34,2,distance,0.002800146738688151
kNN,make_regression,auto,34,3,uniform,0.002774953842163086
kNN,make_regression,auto,34,3,distance,0.002865473429361979
kNN,make_regression,auto,34,4,uniform,0.002804279327392578
kNN,make_regression,auto,34,4,distance,0.0028412342071533203
kNN,make_regression,auto,34,5,uniform,0.0028440157572428384
kNN,make_regression,auto,34,5,distance,0.0028977394104003906
kNN,make_regression,auto,34,6,uniform,0.002813259760538737
kNN,make_regression,auto,34,6,distance,0.0028613408406575522
kNN,make_regression,auto,34,7,uniform,0.002803246180216471
kNN,make_regression,auto,34,7,distance,0.0028765996297200522
kNN,make_regression,auto,34,8,uniform,0.0028740564982096353
kNN,make_regression,auto,34,8,distance,0.0028470357259114585
kNN,make_regression,auto,34,9,uniform,0.002827246983846029
kNN,make_regression,auto,34,9,distance,0.0028541088104248047
kNN,make_regression,ball_tree,25,1,uniform,0.003616174062093099
kNN,make_regression,ball_tree,25,1,distance,0.0036476453145345054
kNN,make_regression,ball_tree,25,2,uniform,0.003662665685017904
kNN,make_regression,ball_tree,25,2,distance,0.003778537114461263
kNN,make_regression,ball_tree,25,3,uniform,0.0036591688791910806
kNN,make_regression,ball_tree,25,3,distance,0.0036629041035970054
kNN,make_regression,ball_tree,25,4,uniform,0.003691434860229492
kNN,make_regression,ball_tree,25,4,distance,0.0037184556325276694
kNN,make_regression,ball_tree,25,5,uniform,0.0036296844482421875
kNN,make_regression,ball_tree,25,5,distance,0.003653367360432943
kNN,make_regression,ball_tree,25,6,uniform,0.0037053426106770835
kNN,make_regression,ball_tree,25,6,distance,0.0037358601888020835
kNN,make_regression,ball_tree,25,7,uniform,0.0036391417185465493
kNN,make_regression,ball_tree,25,7,distance,0.0036872227986653647
kNN,make_regression,ball_tree,25,8,uniform,0.0036592483520507812
kNN,make_regression,ball_tree,25,8,distance,0.003703037897745768
kNN,make_regression,ball_tree,25,9,uniform,0.0036455790201822915
kNN,make_regression,ball_tree,25,9,distance,0.0037103494008382163
kNN,make_regression,ball_tree,26,1,uniform,0.0036510626475016275
kNN,make_regression,ball_tree,26,1,distance,0.003744840621948242
kNN,make_regression,ball_tree,26,2,uniform,0.003636042277018229
kNN,make_regression,ball_tree,26,2,distance,0.0036493142445882163
kNN,make_regression,ball_tree,26,3,uniform,0.0036429564158121743
