algorithm_name,dataset_name,max_depth,max_features,min_samples_leaf,n_estimators,mean_fit_time
Random Forest,make_moons,1,auto,2,172,0.23105589548746744
Random Forest,make_moons,1,auto,2,173,0.23149903615315756
Random Forest,make_moons,1,auto,2,174,0.23475376764933267
Random Forest,make_moons,1,auto,2,175,0.23617021242777506
Random Forest,make_moons,1,auto,2,176,0.23883875211079916
Random Forest,make_moons,1,auto,2,177,0.23732447624206543
Random Forest,make_moons,1,auto,2,178,0.23966526985168457
Random Forest,make_moons,1,auto,2,179,0.2420949935913086
Random Forest,make_moons,1,auto,2,180,0.2481534481048584
Random Forest,make_moons,1,auto,2,181,0.24755183855692545
Random Forest,make_moons,1,auto,2,182,0.24502078692118326
Random Forest,make_moons,1,auto,2,183,0.24652584393819174
Random Forest,make_moons,1,auto,2,184,0.2473775545756022
Random Forest,make_moons,1,auto,2,185,0.24786067008972168
Random Forest,make_moons,1,auto,2,186,0.2498493194580078
Random Forest,make_moons,1,auto,2,187,0.25125686327616376
Random Forest,make_moons,1,auto,2,188,0.2524784406026204
Random Forest,make_moons,1,auto,2,189,0.25298047065734863
Random Forest,make_moons,1,auto,2,190,0.254985253016154
Random Forest,make_moons,1,auto,2,191,0.25732167561848956
Random Forest,make_moons,1,auto,2,192,0.25813134511311847
Random Forest,make_moons,1,auto,2,193,0.2594601313273112
Random Forest,make_moons,1,auto,2,194,0.26071540514628094
Random Forest,make_moons,1,auto,2,195,0.26267608006795246
Random Forest,make_moons,1,auto,2,196,0.2633415063222249
Random Forest,make_moons,1,auto,2,197,0.2636877695719401
Random Forest,make_moons,1,auto,2,198,0.2672565778096517
Random Forest,make_moons,1,auto,2,199,0.2686261336008708
Random Forest,make_moons,1,auto,3,50,0.06776722272237141
Random Forest,make_moons,1,auto,3,51,0.06878876686096191
Random Forest,make_moons,1,auto,3,52,0.0707244873046875
Random Forest,make_moons,1,auto,3,53,0.0717771848042806
Random Forest,make_moons,1,auto,3,54,0.07341043154398601
Random Forest,make_moons,1,auto,3,55,0.07394520441691081
Random Forest,make_moons,1,auto,3,56,0.0738522211710612
Random Forest,make_moons,1,auto,3,57,0.08728480339050293
Random Forest,make_moons,1,auto,3,58,0.07873948415120442
Random Forest,make_moons,1,auto,3,59,0.07999928792317708
Random Forest,make_moons,1,auto,3,60,0.0809481143951416
Random Forest,make_moons,1,auto,3,61,0.08264636993408203
Random Forest,make_moons,1,auto,3,62,0.08450992902119954
Random Forest,make_moons,1,auto,3,63,0.0841825803120931
Random Forest,make_moons,1,auto,3,64,0.08644938468933105
Random Forest,make_moons,1,auto,3,65,0.08789944648742676
Random Forest,make_moons,1,auto,3,66,0.08997654914855957
Random Forest,make_moons,1,auto,3,67,0.09068560600280762
Random Forest,make_moons,1,auto,3,68,0.0919354756673177
Random Forest,make_moons,1,auto,3,69,0.09337091445922852
Random Forest,make_moons,1,auto,3,70,0.09573864936828613
Random Forest,make_moons,1,auto,3,71,0.09618997573852539
Random Forest,make_moons,1,auto,3,72,0.09675431251525879
Random Forest,make_moons,1,auto,3,73,0.09860515594482422
Random Forest,make_moons,1,auto,3,74,0.10027551651000977
Random Forest,make_moons,1,auto,3,75,0.10094793637593587
Random Forest,make_moons,1,auto,3,76,0.10276039441426595
Random Forest,make_moons,1,auto,3,77,0.10455799102783203
Random Forest,make_moons,1,auto,3,78,0.10492332776387532
Random Forest,make_moons,1,auto,3,79,0.1066586176554362
Random Forest,make_moons,1,auto,3,80,0.10786898930867513
Random Forest,make_moons,1,auto,3,81,0.10944279034932454
Random Forest,make_moons,1,auto,3,82,0.11046799023946126
Random Forest,make_moons,1,auto,3,83,0.11194984118143718
Random Forest,make_moons,1,auto,3,84,0.11325160662333171
Random Forest,make_moons,1,auto,3,85,0.11458841959635417
Random Forest,make_moons,1,auto,3,86,0.11604595184326172
Random Forest,make_moons,1,auto,3,87,0.1182233492533366
Random Forest,make_moons,1,auto,3,88,0.11872124671936035
Random Forest,make_moons,1,auto,3,89,0.12053513526916504
Random Forest,make_moons,1,auto,3,90,0.12071450551350911
Random Forest,make_moons,1,auto,3,91,0.12324221928914388
Random Forest,make_moons,1,auto,3,92,0.12405673662821452
Random Forest,make_moons,1,auto,3,93,0.1261261304219564
Random Forest,make_moons,1,auto,3,94,0.12676533063252768
Random Forest,make_moons,1,auto,3,95,0.12787508964538574
Random Forest,make_moons,1,auto,3,96,0.12917772928873697
Random Forest,make_moons,1,auto,3,97,0.13113951683044434
Random Forest,make_moons,1,auto,3,98,0.13141107559204102
Random Forest,make_moons,1,auto,3,99,0.13413572311401367
Random Forest,make_moons,1,auto,3,100,0.13538448015848795
Random Forest,make_moons,1,auto,3,101,0.1366239388783773
Random Forest,make_moons,1,auto,3,102,0.13675991694132486
Random Forest,make_moons,1,auto,3,103,0.1388391653696696
Random Forest,make_moons,1,auto,3,104,0.13952422142028809
Random Forest,make_moons,1,auto,3,105,0.1421650250752767
Random Forest,make_moons,1,auto,3,106,0.14194154739379883
Random Forest,make_moons,1,auto,3,107,0.14433622360229492
Random Forest,make_moons,1,auto,3,108,0.14495611190795898
Random Forest,make_moons,1,auto,3,109,0.14754811922709146
Random Forest,make_moons,1,auto,3,110,0.14788301785786948
Random Forest,make_moons,1,auto,3,111,0.15825764338175455
Random Forest,make_moons,1,auto,3,112,0.15078043937683105
Random Forest,make_moons,1,auto,3,113,0.15221858024597168
Random Forest,make_moons,1,auto,3,114,0.1527127424875895
Random Forest,make_moons,1,auto,3,115,0.15398796399434408
Random Forest,make_moons,1,auto,3,116,0.15620009104410806
Random Forest,make_moons,1,auto,3,117,0.15767820676167807
Random Forest,make_moons,1,auto,3,118,0.1588594118754069
Random Forest,make_moons,1,auto,3,119,0.1594992478688558
Random Forest,make_moons,1,auto,3,120,0.16179911295572916
Random Forest,make_moons,1,auto,3,121,0.16349188486735025
Random Forest,make_moons,1,auto,3,122,0.16356873512268066
Random Forest,make_moons,1,auto,3,123,0.16530688603719076
Random Forest,make_moons,1,auto,3,124,0.16647466023763022
Random Forest,make_moons,1,auto,3,125,0.168471892674764
Random Forest,make_moons,1,auto,3,126,0.16861414909362793
Random Forest,make_moons,1,auto,3,127,0.1699833869934082
Random Forest,make_moons,1,auto,3,128,0.18404118220011392
Random Forest,make_moons,1,auto,3,129,0.17447360356648764
Random Forest,make_moons,1,auto,3,130,0.17423629760742188
Random Forest,make_moons,1,auto,3,131,0.17574135462443033
Random Forest,make_moons,1,auto,3,132,0.1780871550242106
Random Forest,make_moons,1,auto,3,133,0.17989842096964517
Random Forest,make_moons,1,auto,3,134,0.17945082982381186
Random Forest,make_moons,1,auto,3,135,0.1813199520111084
Random Forest,make_moons,1,auto,3,136,0.18304999669392905
Random Forest,make_moons,1,auto,3,137,0.18483193715413412
Random Forest,make_moons,1,auto,3,138,0.18492706616719565
Random Forest,make_moons,1,auto,3,139,0.18666664759318033
Random Forest,make_moons,1,auto,3,140,0.18892598152160645
Random Forest,make_moons,1,auto,3,141,0.1899115244547526
Random Forest,make_moons,1,auto,3,142,0.1901689370473226
Random Forest,make_moons,1,auto,3,143,0.1922285556793213
Random Forest,make_moons,1,auto,3,144,0.19834184646606445
Random Forest,make_moons,1,auto,3,145,0.1950801213582357
Random Forest,make_moons,1,auto,3,146,0.19649807612101236
Random Forest,make_moons,1,auto,3,147,0.20121192932128906
Random Forest,make_moons,1,auto,3,148,0.19957534472147623
Random Forest,make_moons,1,auto,3,149,0.20056851704915366
